ENGLISH TIME - A2 GRAMMAR PRONOUNS MIXED (50 Soru)
====================================================

No   | Soru (Boşluğu Doldurun)                                                              | Cevap
-----|----------------------------------------------------------------------------------------|------------------
1    | This book is not ....... The cover is different.                                       | mine
2    | ....... went to the grocery store to buy some fresh milk.                              | She
3    | Be careful with that knife! I cut ....... while I was chopping onions yesterday.       | myself
4    | We need to bring ....... laptops to the presentation tomorrow.                         | our
5    | Their new car is much faster and more comfortable than .......                         | ours
6    | The science teacher gave ....... a lot of homework for the weekend.                    | them
7    | Welcome to the party! Please help ....... to some coffee and cookies.                  | yourselves
8    | Excuse me, is this black jacket .......? I found it on the chair.                      | yours
9    | ....... and I have been best friends since we were in elementary school.                | He
10   | The little cat washed ....... carefully after eating the fish.                          | itself
11   | I lost my contact list. Can you give me ....... phone number again?                    | your
12   | Between you and ......., I don't think this project is going to be successful.         | me
13   | She was very proud because she built that entire model airplane by .......              | herself
14   | I forgot my umbrella at home. It is raining heavily, can I borrow .......?              | yours
15   | ....... decided to move to a completely new city next year.                              | They
16   | Those are definitely not my keys; I think they are .......                               | hers
17   | We enjoyed ....... very much at the rock concert last night.                             | ourselves
18   | The weather is so beautiful today. Let ....... go to the park before it gets dark.       | us
19   | The cute dog wagged ....... tail happily when the owner came back home.                  | its
20   | My computer is broken right now, so I am using ....... to finish my work.                | theirs
21   | The mechanic fixed the car, but ....... engine is still making a strange noise.          | its
22   | They painted the whole house by ....... to save a lot of money.                          | themselves
23   | ....... are planning to travel to Italy next summer for a long holiday.                  | We
24   | I left my pen on the desk, can I use ....... for a minute?                               | yours
25   | The manager called ....... into the meeting room to discuss the new project.             | us
26   | He taught ....... how to play the guitar by watching online videos every day.            | himself
27   | She always forgets ....... passwords when trying to log into the school website.        | her
28   | ....... is raining heavily outside, so you should definitely take a taxi.                | It
29   | This isn't John's backpack. ....... is dark blue and much bigger.                        | His
30   | Please don't tell ....... the surprise before the birthday party begins.                | her
31   | We need to submit ....... final reports to the teacher by Friday afternoon.              | our
32   | I don't need any help, I can carry these heavy boxes by ........                         | myself
33   | ....... usually wakes up very early to go for a run in the park.                         | He
34   | My phone battery is completely dead, and my sister refuses to lend me ........           | hers
35   | The loud music from the neighbor's house kept ....... awake all night.                   | them
36   | Can you please take off ....... shoes before entering the living room?                   | your
37   | The oven is very hot, so be careful not to burn ........                                 | yourself
38   | Their garden is beautiful, but I think ....... has more colorful flowers.                | ours
39   | ....... am looking forward to starting my internship at the airline company next month.  | I
40   | I saw Sarah at the shopping mall yesterday, but I didn't have time to talk to ........   | her
41   | The dog quickly buried ....... bone in the backyard yesterday morning.                   | its
42   | Welcome to our home, guys! Make ....... comfortable on the couch.                        | yourselves
43   | You brought your lunch, but where is ........ ? I can't find my sandwich anywhere.       | mine
44   | The pilot explained the safety rules to ....... before the flight took off.              | us
45   | ....... never listen to my advice, even when I know what is best for the team.           | They
46   | ....... brother is studying civil engineering at a university in Istanbul.                | My
47   | The smart vacuum cleaner can charge ....... automatically when the battery is low.       | itself
48   | I know this is your seat, but I am not sure which one is ........                        | theirs
49   | Tom was looking for his reading glasses, so I helped ....... find them.                  | him
50   | The passengers must show ....... boarding passes at the gate before boarding.            | their
