ENGLISH TIME - LEVEL 2 KELİME LİSTESİ (410 Kelime)
====================================================

No   | English                              | Türkçe
-----|--------------------------------------|-----------------------------------------------
1    | Sky                                  | Gökyüzü
2    | Wood                                 | Ağaçlık
3    | Hill                                 | Tepe
4    | Farmer                               | Çiftçi
5    | Valley                               | Vadi
6    | Tree                                 | Ağaç
7    | Field                                | Alan / Tarla
8    | Farm                                 | Çiftlik
9    | Lake                                 | Göl
10   | Horse                                | At
11   | Boat                                 | Kayık
12   | Grass                                | Çimen
13   | Dog                                  | Köpek
14   | Path                                 | Patika / Keçi Yolu
15   | Grow                                 | Büyü(t)mek / Yetiş(tir)mek
16   | Own                                  | Sahip Olmak
17   | Crop                                 | Mahsul
18   | Area                                 | Alan / Bölge
19   | Countryside                          | Kırsal Bölge
20   | Bird                                 | Kuş
21   | Wonderful                            | Harika
22   | Fresh Food                           | Taze Yiyecek
23   | Healthy                              | Sağlıklı
24   | Public Transport                     | Toplu Taşıma
25   | Terrible                             | Korkunç
26   | Ride a Bike                          | Bisiklete Binmek
27   | Alone                                | Yalnız
28   | Lonely                               | Yalnız Bir Şekilde
29   | Look After                           | İlgilenmek
30   | Market                               | Market
31   | Outdoor                              | Açık Hava / Dış Mekan
32   | Indoor                               | Kapalı / İç Mekan
33   | Shopping Centre                      | Alışveriş Merkezi
34   | Department Store                     | Büyük Mağaza
35   | Hypermarket                          | Hipermarket
36   | Butcher's                            | Kasap
37   | Chemist's                            | Eczane
38   | Paper Shop / Newsagent               | Gazete Bayii
39   | Convenient                           | Uygun
40   | Get                                  | Edinmek / Almak
41   | Do The Shopping                      | Alışveriş Yapmak
42   | Queue                                | Sıra / Kuyruk
43   | Check Out                            | Kasa
44   | Choose                               | Seçmek
45   | Prefer                               | Tercih Etmek
46   | Fill                                 | Doldurmak
47   | Full                                 | Dolu
48   | Trolley                              | Alışveriş Arabası
49   | Deliver                              | İletmek / Ulaştırmak
50   | (on) The Top Floor                   | Üst Katta
51   | (on) The Second Floor                | İkinci Katta
52   | (on) The First Floor                 | Birinci Katta
53   | (on) The Ground Floor                | Zemin Katta
54   | Garden                               | Bahçe
55   | Steps                                | Merdivenler / Basamaklar
56   | (in) The Basement                    | Bodrumda
57   | Rubbish                              | Çöp
58   | Front Door                           | Sokak Kapısı / Ön Kapı
59   | Stairs                               | Merdivenler
60   | Lift                                 | Asansör
61   | Flat                                 | Daire
62   | Balcony                              | Balkon
63   | Modern                               | Modern
64   | Old                                  | Eski
65   | View                                 | Görüntü / Manzara
66   | Upstairs                             | Üst Kat
67   | Downstairs                           | Alt Kat
68   | Outside                              | Dışarısı
69   | Inside                               | İçerisi
70   | Garage                               | Garaj
71   | Parking                              | Park Yeri
72   | Living Room                          | Oturma Odası
73   | Dining Room                          | Yemek Odası
74   | Study Room                           | Çalışma Odası
75   | Kitchen                              | Mutfak
76   | Home                                 | Ev
77   | House                                | Bina
78   | Shelf                                | Raf
79   | Tap (turn the Tap on-off)            | Musluk
80   | Cup                                  | Fincan
81   | Microwave                            | Mikrodalga
82   | Frying Pan                           | Kızartma Tavası
83   | Freezer                              | Dondurucu
84   | Sink                                 | Lavabo
85   | Saucer                               | Çay Tabağı / Fincan Tabağı
86   | Hob                                  | Set Üstü Ocak
87   | Saucepan                             | Sos Tavası
88   | (rubbish) Bin                        | Çöp Kovası
89   | Full                                 | Dolu
90   | Empty                                | Boş
91   | Oven                                 | Fırın
92   | Fridge                               | Buzdolabı
93   | Washing Machine                      | Çamaşır Makinası
94   | Cupboard                             | Dolap
95   | Dishwasher                           | Bulaşık Makinası
96   | Cooker                               | Ocak
97   | Do The Shopping                      | Alışveriş Yapmak
98   | Clean                                | Temizlemek
99   | Take                                 | Almak
100  | Make                                 | Yapmak
101  | Do the Ironing                       | Ütü Yapmak
102  | Do the Washing Up                    | Bulaşıkları Yıkamak
103  | Housework                            | Ev İşi
104  | Homework                             | Ev Ödevi
105  | Bedroom                              | Yatak Odası
106  | Single Bed                           | Tekli Yatak
107  | Bedside Table                        | Komodin
108  | Desk                                 | Sıra / Masa
109  | Chest of Drawers                     | Çekmeceler
110  | Wardrobe                             | Gardırop
111  | Bath                                 | Banyo
112  | Shower                               | Duş
113  | Wash Basin                           | Lavabo
114  | Mirror                               | Ayna
115  | Blanket                              | Battaniye
116  | Sheets                               | Çarşaflar
117  | Towels                               | Havlular
118  | Soap                                 | Sabun
119  | Have a Wash                          | Yıkanmak
120  | Clean Your Teeth                     | Dişlerini Temizlemek
121  | Wash Your Hair                       | Saçlarını Yıkamak
122  | Have a Shave                         | Tıraş Olmak
123  | Put On Make Up                       | Makyaj Yapmak
124  | Take Off Make Up                     | Makyajı Çıkarmak / Silmek
125  | Tissue                               | Mendil
126  | Put On Perfume                       | Parfüm Sıkmak
127  | Wear Perfume                         | Parfüm Sıkmak
128  | A Razor                              | Jilet
129  | Toothpaste                           | Diş Macunu
130  | Toothbrush                           | Diş Fırçası
131  | Window                               | Pencere
132  | Light                                | Işık
133  | Ceiling                              | Tavan
134  | Wall                                 | Duvar
135  | Curtains                             | Perdeler
136  | Cushion                              | Minder / Yastık
137  | Lamp                                 | Lamba
138  | Armchair                             | Tekli Koltuk
139  | Coffee Table                         | Orta Sehpa
140  | Floor                                | Yer / Kat
141  | Sofa                                 | Çekyat
142  | Rug                                  | Kilim
143  | Carpet                               | Halı
144  | Chemistry                            | Kimya
145  | Physics                              | Fizik
146  | Biology                              | Biyoloji
147  | Maths                                | Matematik
148  | Geography                            | Coğrafya
149  | History                              | Tarih
150  | Literature                           | Edebiyat
151  | Art                                  | Resim / Sanat
152  | Subjects                             | Konular / Dersler
153  | Good at Something                    | Bir Şeyde İyi Olmak
154  | Bad at Something                     | Bir Şeyde Kötü Olmak
155  | Terrible At                          | Bir Şeyde Çok Kötü Olmak
156  | Kindergarten                         | Anaokulu / Kreş
157  | Primary School                       | İlkokul
158  | Secondary School                     | Ortaokul
159  | State School                         | Devlet Okulu
160  | Private School                       | Özel Okul
161  | Start at School                      | Okula Başlamak
162  | Leave School                         | Okuldan Ayrılmak
163  | Get a Job                            | İşe Girmek / İş Bulmak
164  | Take Exam                            | Sınav Olmak
165  | Pass an Exam                         | Bir Sınavı Geçmek
166  | Fail an Exam                         | Bir Sınavdan Kalmak
167  | Result                               | Sonuç
168  | Grade                                | Not / Sınav Sonucu
169  | Get a Grade                          | Sınav Sonucu Almak
170  | Do Well                              | İyi Yapmak
171  | Do Badly                             | Kötü Bir Şekilde Yapmak
172  | Do a Degree                          | Derece Yapmak
173  | Term                                 | Dönem
174  | Library                              | Kütüphane
175  | Undergraduate                        | Lisans Öğrencisi
176  | Write an Essay                       | Bir Deneme Yazısı Yazmak
177  | Again                                | Yeniden
178  | Psychology                           | Psikoloji
179  | A Psychologist                       | Psikolog
180  | Economics                            | Ekonomi
181  | Economist                            | Ekonomist
182  | Law                                  | Hukuk
183  | Lawyer                               | Avukat
184  | Politics                             | Siyaset
185  | A Politician                         | Siyasetçi
186  | Engineering                          | Mühendislik
187  | An Engineer                          | Mühendis
188  | Architecture                         | Mimarlık
189  | An Architect                         | Mimar
190  | A Builder                            | İnşaatçı
191  | A Teacher                            | Öğretmen
192  | A Shop Assistant                     | Satıcı
193  | A Nurse                              | Hemşire
194  | A Secretary                          | Sekreter
195  | A Hairdresser                        | Kuaför
196  | A Chef                               | Şef
197  | A Dentist                            | Dişçi
198  | A Soldier                            | Asker
199  | A Cleaner                            | Temizlikçi
200  | A Vet                                | Veteriner
201  | A Pilot                              | Pilot
202  | A Lorry Driver                       | Kamyonet Sürücüsü
203  | Self-Employed                        | Kendi İşinin Sahibi
204  | Unemployed                           | İşsiz
205  | Retired                              | Emekli
206  | Housewife                            | Ev Hanımı
207  | Boss                                 | Patron
208  | An Office                            | Ofis
209  | A Factory                            | Fabrika
210  | Company                              | Şirket
211  | Full-Time                            | Tam Zamanlı
212  | Part-Time                            | Yarı Zamanlı
213  | Long Hours                           | Uzun Saatler
214  | Earn                                 | Kazanmak (Para)
215  | Salary                               | Maaş
216  | Wages                                | Günlük Ücret
217  | Low                                  | Düşük
218  | High                                 | Yüksek
219  | Design Building                      | Bina Tasarlamak
220  | Discuss Something                    | Bir Şeyi Tartışmak
221  | To Go To Meeting                     | Bir Toplantıya Gitmek
222  | Write a Report                       | Bir Rapor Yazmak
223  | Organize Meeting                     | Toplantı Organize Etmek
224  | Colleague                            | İş Arkadaşı / Meslektaş
225  | Webcam                               | Video Kamera / İnternet Kamerası
226  | Printer                              | Yazıcı
227  | Laptop                               | Dizüstü Bilgisayar
228  | Hard Drive                           | Sabit Disk
229  | Monitor                              | Monitör
230  | Disc                                 | Disk
231  | Mouse                                | Fare
232  | Memory Stick                         | Taşınabilir Bellek
233  | Screen                               | Ekran
234  | Cut                                  | Kesmek
235  | Paste                                | Yapıştırmak
236  | Save                                 | Kaydetmek
237  | Print                                | Yazdırmak
238  | Copy                                 | Kopyasını Almak / Kopyalamak
239  | Check Your Email                     | E-Posta Kontrol Etmek
240  | Get an Email                         | Bir E-Posta Almak
241  | Reply To An Email                    | Bir E-Postaya Cevap Vermek
242  | On The Internet                      | İnternette
243  | Search                               | Araştırmak
