ENGLISH TIME - LEVEL 2 İPUCU LİSTESİ (410 Kelime)
====================================================

No   | English                               | Türkçe                                | English Hint (A2 Level)                             | Türkçe İpucu
-----|---------------------------------------|---------------------------------------|-----------------------------------------------------|---------------------------------------------
1    | Sky                                   | Gökyüzü                               | The blue space above us.                            | Üstümüzdeki mavi boşluk.
2    | Wood                                  | Ağaçlık                               | A small area with many trees.                       | Çok sayıda ağacın olduğu küçük alan.
3    | Hill                                  | Tepe                                  | A small mountain.                                   | Küçük bir dağ.
4    | Farmer                                | Çiftçi                                | A person who works on a farm and grows food.        | Çiftlikte çalışan ve yiyecek yetiştiren kişi.
5    | Valley                                | Vadi                                  | The low place between two mountains.                | İki dağ arasındaki alçak yer.
6    | Tree                                  | Ağaç                                  | A tall green plant with leaves.                     | Yaprakları olan uzun yeşil bitki.
7    | Field                                 | Alan / Tarla                          | A large open land for plants or animals.            | Bitkiler veya hayvanlar için büyük açık arazi.
8    | Farm                                  | Çiftlik                               | A place where farmers work and keep animals.        | Çiftçilerin çalıştığı ve hayvan beslediği yer.
9    | Lake                                  | Göl                                   | A large area of water.                              | Büyük bir su alanı.
10   | Horse                                 | At                                    | A big animal you can ride.                          | Üzerine binebileceğin büyük bir hayvan.
11   | Boat                                  | Kayık                                 | A small ship to travel on water.                    | Suda seyahat etmek için küçük gemi.
12   | Grass                                 | Çimen                                 | Short green plants on the ground.                   | Yerdeki kısa yeşil bitkiler.
13   | Dog                                   | Köpek                                 | A friendly pet animal that barks.                   | Havlayan, arkadaş canlısı evcil hayvan.
14   | Path                                  | Patika / Keçi Yolu                    | A small road for walking.                           | Yürümek için küçük bir yol.
15   | Grow                                  | Büyü(t)mek / Yetiş(tir)mek            | To get bigger over time.                            | Zamanla daha büyük hale gelmek.
16   | Own                                   | Sahip Olmak                           | To have something that is yours.                    | Sana ait olan bir şeye sahip olmak.
17   | Crop                                  | Mahsul                                | Plants grown on a farm, like wheat or corn.         | Çiftlikte yetiştirilen buğday, mısır gibi bitkiler.
18   | Area                                  | Alan / Bölge                          | A part of a place.                                  | Bir yerin bir kısmı veya bölümü.
19   | Countryside                           | Kırsal Bölge                          | Land outside towns and cities.                      | Şehirlerin ve kasabaların dışındaki arazi.
20   | Bird                                  | Kuş                                   | An animal with wings that can fly.                  | Kanatları olan ve uçabilen bir hayvan.
21   | Wonderful                             | Harika                                | Very good or beautiful.                             | Çok iyi veya çok güzel.
22   | Fresh Food                            | Taze Yiyecek                          | Food that is new and not in a can.                  | Konservede olmayan, yeni yiyecek.
23   | Healthy                               | Sağlıklı                              | Good for your body.                                 | Vücudun için iyi ve yararlı olan.
