Personel Notebook - A2 ZAMAN & SAATLER (1441 Kelime)
====================================================

No   | Saat  | English                              | Türkçe
-----|-------|--------------------------------------|-----------------------------------------------
1    | 00:00 | twelve o'clock a.m.                  | gece on iki
3    | 00:01 | one minute past twelve a.m.          | gece on ikiyi bir geçiyor
4    | 00:02 | two minutes past twelve a.m.         | gece on ikiyi iki geçiyor
5    | 00:03 | three minutes past twelve a.m.       | gece on ikiyi üç geçiyor
6    | 00:04 | four minutes past twelve a.m.        | gece on ikiyi dört geçiyor
7    | 00:05 | five past twelve a.m.                | gece on ikiyi beş geçiyor
8    | 00:06 | six minutes past twelve a.m.         | gece on ikiyi altı geçiyor
9    | 00:07 | seven minutes past twelve a.m.       | gece on ikiyi yedi geçiyor
10   | 00:08 | eight minutes past twelve a.m.       | gece on ikiyi sekiz geçiyor
11   | 00:09 | nine minutes past twelve a.m.        | gece on ikiyi dokuz geçiyor
12   | 00:10 | ten past twelve a.m.                 | gece on ikiyi on geçiyor
13   | 00:11 | eleven minutes past twelve a.m.      | gece on ikiyi on bir geçiyor
14   | 00:12 | twelve minutes past twelve a.m.      | gece on ikiyi on iki geçiyor
15   | 00:13 | thirteen minutes past twelve a.m.    | gece on ikiyi on üç geçiyor
16   | 00:14 | fourteen minutes past twelve a.m.    | gece on ikiyi on dört geçiyor
17   | 00:15 | a quarter past twelve a.m.           | gece on ikiyi çeyrek geçiyor
18   | 00:16 | sixteen minutes past twelve a.m.     | gece on ikiyi on altı geçiyor
19   | 00:17 | seventeen minutes past twelve a.m.   | gece on ikiyi on yedi geçiyor
20   | 00:18 | eighteen minutes past twelve a.m.    | gece on ikiyi on sekiz geçiyor
21   | 00:19 | nineteen minutes past twelve a.m.    | gece on ikiyi on dokuz geçiyor
22   | 00:20 | twenty past twelve a.m.              | gece on ikiyi yirmi geçiyor
23   | 00:21 | twenty-one minutes past twelve a.m.  | gece on ikiyi yirmi bir geçiyor
24   | 00:22 | twenty-two minutes past twelve a.m.  | gece on ikiyi yirmi iki geçiyor
25   | 00:23 | twenty-three minutes past twelve a.m. | gece on ikiyi yirmi üç geçiyor
26   | 00:24 | twenty-four minutes past twelve a.m. | gece on ikiyi yirmi dört geçiyor
27   | 00:25 | twenty-five past twelve a.m.         | gece on ikiyi yirmi beş geçiyor
28   | 00:26 | twenty-six minutes past twelve a.m.  | gece on ikiyi yirmi altı geçiyor
29   | 00:27 | twenty-seven minutes past twelve a.m. | gece on ikiyi yirmi yedi geçiyor
30   | 00:28 | twenty-eight minutes past twelve a.m. | gece on ikiyi yirmi sekiz geçiyor
31   | 00:29 | twenty-nine minutes past twelve a.m. | gece on ikiyi yirmi dokuz geçiyor
32   | 00:30 | half past twelve a.m.                | gece on iki buçuk
33   | 00:31 | twenty-nine minutes to one a.m.      | gece bire yirmi dokuz var
34   | 00:32 | twenty-eight minutes to one a.m.     | gece bire yirmi sekiz var
35   | 00:33 | twenty-seven minutes to one a.m.     | gece bire yirmi yedi var
36   | 00:34 | twenty-six minutes to one a.m.       | gece bire yirmi altı var
37   | 00:35 | twenty-five to one a.m.              | gece bire yirmi beş var
38   | 00:36 | twenty-four minutes to one a.m.      | gece bire yirmi dört var
39   | 00:37 | twenty-three minutes to one a.m.     | gece bire yirmi üç var
40   | 00:38 | twenty-two minutes to one a.m.       | gece bire yirmi iki var
41   | 00:39 | twenty-one minutes to one a.m.       | gece bire yirmi bir var
42   | 00:40 | twenty to one a.m.                   | gece bire yirmi var
43   | 00:41 | nineteen minutes to one a.m.         | gece bire on dokuz var
44   | 00:42 | eighteen minutes to one a.m.         | gece bire on sekiz var
45   | 00:43 | seventeen minutes to one a.m.        | gece bire on yedi var
46   | 00:44 | sixteen minutes to one a.m.          | gece bire on altı var
47   | 00:45 | a quarter to one a.m.                | gece bire çeyrek var
48   | 00:46 | fourteen minutes to one a.m.         | gece bire on dört var
49   | 00:47 | thirteen minutes to one a.m.         | gece bire on üç var
50   | 00:48 | twelve minutes to one a.m.           | gece bire on iki var
51   | 00:49 | eleven minutes to one a.m.           | gece bire on bir var
52   | 00:50 | ten to one a.m.                      | gece bire on var
53   | 00:51 | nine minutes to one a.m.             | gece bire dokuz var
54   | 00:52 | eight minutes to one a.m.            | gece bire sekiz var
55   | 00:53 | seven minutes to one a.m.            | gece bire yedi var
56   | 00:54 | six minutes to one a.m.              | gece bire altı var
57   | 00:55 | five to one a.m.                     | gece bire beş var
58   | 00:56 | four minutes to one a.m.             | gece bire dört var
59   | 00:57 | three minutes to one a.m.            | gece bire üç var
60   | 00:58 | two minutes to one a.m.              | gece bire iki var
61   | 00:59 | one minute to one a.m.               | gece bire bir var
62   | 01:00 | one o'clock a.m.                     | gece bir
63   | 01:01 | one minute past one a.m.             | gece biri bir geçiyor
64   | 01:02 | two minutes past one a.m.            | gece biri iki geçiyor
65   | 01:03 | three minutes past one a.m.          | gece biri üç geçiyor
66   | 01:04 | four minutes past one a.m.           | gece biri dört geçiyor
67   | 01:05 | five past one a.m.                   | gece biri beş geçiyor
68   | 01:06 | six minutes past one a.m.            | gece biri altı geçiyor
69   | 01:07 | seven minutes past one a.m.          | gece biri yedi geçiyor
70   | 01:08 | eight minutes past one a.m.          | gece biri sekiz geçiyor
71   | 01:09 | nine minutes past one a.m.           | gece biri dokuz geçiyor
72   | 01:10 | ten past one a.m.                    | gece biri on geçiyor
73   | 01:11 | eleven minutes past one a.m.         | gece biri on bir geçiyor
74   | 01:12 | twelve minutes past one a.m.         | gece biri on iki geçiyor
75   | 01:13 | thirteen minutes past one a.m.       | gece biri on üç geçiyor
76   | 01:14 | fourteen minutes past one a.m.       | gece biri on dört geçiyor
77   | 01:15 | a quarter past one a.m.              | gece biri çeyrek geçiyor
78   | 01:16 | sixteen minutes past one a.m.        | gece biri on altı geçiyor
79   | 01:17 | seventeen minutes past one a.m.      | gece biri on yedi geçiyor
80   | 01:18 | eighteen minutes past one a.m.       | gece biri on sekiz geçiyor
81   | 01:19 | nineteen minutes past one a.m.       | gece biri on dokuz geçiyor
82   | 01:20 | twenty past one a.m.                 | gece biri yirmi geçiyor
83   | 01:21 | twenty-one minutes past one a.m.     | gece biri yirmi bir geçiyor
84   | 01:22 | twenty-two minutes past one a.m.     | gece biri yirmi iki geçiyor
85   | 01:23 | twenty-three minutes past one a.m.   | gece biri yirmi üç geçiyor
86   | 01:24 | twenty-four minutes past one a.m.    | gece biri yirmi dört geçiyor
87   | 01:25 | twenty-five past one a.m.            | gece biri yirmi beş geçiyor
88   | 01:26 | twenty-six minutes past one a.m.     | gece biri yirmi altı geçiyor
89   | 01:27 | twenty-seven minutes past one a.m.   | gece biri yirmi yedi geçiyor
90   | 01:28 | twenty-eight minutes past one a.m.   | gece biri yirmi sekiz geçiyor
91   | 01:29 | twenty-nine minutes past one a.m.    | gece biri yirmi dokuz geçiyor
92   | 01:30 | half past one a.m.                   | gece bir buçuk
93   | 01:31 | twenty-nine minutes to two a.m.      | gece ikiye yirmi dokuz var
94   | 01:32 | twenty-eight minutes to two a.m.     | gece ikiye yirmi sekiz var
95   | 01:33 | twenty-seven minutes to two a.m.     | gece ikiye yirmi yedi var
96   | 01:34 | twenty-six minutes to two a.m.       | gece ikiye yirmi altı var
97   | 01:35 | twenty-five to two a.m.              | gece ikiye yirmi beş var
98   | 01:36 | twenty-four minutes to two a.m.      | gece ikiye yirmi dört var
99   | 01:37 | twenty-three minutes to two a.m.     | gece ikiye yirmi üç var
100  | 01:38 | twenty-two minutes to two a.m.       | gece ikiye yirmi iki var
101  | 01:39 | twenty-one minutes to two a.m.       | gece ikiye yirmi bir var
102  | 01:40 | twenty to two a.m.                   | gece ikiye yirmi var
103  | 01:41 | nineteen minutes to two a.m.         | gece ikiye on dokuz var
104  | 01:42 | eighteen minutes to two a.m.         | gece ikiye on sekiz var
105  | 01:43 | seventeen minutes to two a.m.        | gece ikiye on yedi var
106  | 01:44 | sixteen minutes to two a.m.          | gece ikiye on altı var
107  | 01:45 | a quarter to two a.m.                | gece ikiye çeyrek var
108  | 01:46 | fourteen minutes to two a.m.         | gece ikiye on dört var
109  | 01:47 | thirteen minutes to two a.m.         | gece ikiye on üç var
110  | 01:48 | twelve minutes to two a.m.           | gece ikiye on iki var
111  | 01:49 | eleven minutes to two a.m.           | gece ikiye on bir var
112  | 01:50 | ten to two a.m.                      | gece ikiye on var
113  | 01:51 | nine minutes to two a.m.             | gece ikiye dokuz var
114  | 01:52 | eight minutes to two a.m.            | gece ikiye sekiz var
115  | 01:53 | seven minutes to two a.m.            | gece ikiye yedi var
116  | 01:54 | six minutes to two a.m.              | gece ikiye altı var
117  | 01:55 | five to two a.m.                     | gece ikiye beş var
118  | 01:56 | four minutes to two a.m.             | gece ikiye dört var
119  | 01:57 | three minutes to two a.m.            | gece ikiye üç var
120  | 01:58 | two minutes to two a.m.              | gece ikiye iki var
121  | 01:59 | one minute to two a.m.               | gece ikiye bir var
122  | 02:00 | two o'clock a.m.                     | gece iki
123  | 02:01 | one minute past two a.m.             | gece ikiyi bir geçiyor
124  | 02:02 | two minutes past two a.m.            | gece ikiyi iki geçiyor
125  | 02:03 | three minutes past two a.m.          | gece ikiyi üç geçiyor
126  | 02:04 | four minutes past two a.m.           | gece ikiyi dört geçiyor
127  | 02:05 | five past two a.m.                   | gece ikiyi beş geçiyor
128  | 02:06 | six minutes past two a.m.            | gece ikiyi altı geçiyor
129  | 02:07 | seven minutes past two a.m.          | gece ikiyi yedi geçiyor
130  | 02:08 | eight minutes past two a.m.          | gece ikiyi sekiz geçiyor
131  | 02:09 | nine minutes past two a.m.           | gece ikiyi dokuz geçiyor
132  | 02:10 | ten past two a.m.                    | gece ikiyi on geçiyor
133  | 02:11 | eleven minutes past two a.m.         | gece ikiyi on bir geçiyor
134  | 02:12 | twelve minutes past two a.m.         | gece ikiyi on iki geçiyor
135  | 02:13 | thirteen minutes past two a.m.       | gece ikiyi on üç geçiyor
136  | 02:14 | fourteen minutes past two a.m.       | gece ikiyi on dört geçiyor
137  | 02:15 | a quarter past two a.m.              | gece ikiyi çeyrek geçiyor
138  | 02:16 | sixteen minutes past two a.m.        | gece ikiyi on altı geçiyor
139  | 02:17 | seventeen minutes past two a.m.      | gece ikiyi on yedi geçiyor
140  | 02:18 | eighteen minutes past two a.m.       | gece ikiyi on sekiz geçiyor
141  | 02:19 | nineteen minutes past two a.m.       | gece ikiyi on dokuz geçiyor
142  | 02:20 | twenty past two a.m.                 | gece ikiyi yirmi geçiyor
143  | 02:21 | twenty-one minutes past two a.m.     | gece ikiyi yirmi bir geçiyor
144  | 02:22 | twenty-two minutes past two a.m.     | gece ikiyi yirmi iki geçiyor
145  | 02:23 | twenty-three minutes past two a.m.   | gece ikiyi yirmi üç geçiyor
146  | 02:24 | twenty-four minutes past two a.m.    | gece ikiyi yirmi dört geçiyor
147  | 02:25 | twenty-five past two a.m.            | gece ikiyi yirmi beş geçiyor
148  | 02:26 | twenty-six minutes past two a.m.     | gece ikiyi yirmi altı geçiyor
149  | 02:27 | twenty-seven minutes past two a.m.   | gece ikiyi yirmi yedi geçiyor
150  | 02:28 | twenty-eight minutes past two a.m.   | gece ikiyi yirmi sekiz geçiyor
151  | 02:29 | twenty-nine minutes past two a.m.    | gece ikiyi yirmi dokuz geçiyor
152  | 02:30 | half past two a.m.                   | gece iki buçuk
153  | 02:31 | twenty-nine minutes to three a.m.    | gece üçe yirmi dokuz var
154  | 02:32 | twenty-eight minutes to three a.m.   | gece üçe yirmi sekiz var
155  | 02:33 | twenty-seven minutes to three a.m.   | gece üçe yirmi yedi var
156  | 02:34 | twenty-six minutes to three a.m.     | gece üçe yirmi altı var
157  | 02:35 | twenty-five to three a.m.            | gece üçe yirmi beş var
158  | 02:36 | twenty-four minutes to three a.m.    | gece üçe yirmi dört var
159  | 02:37 | twenty-three minutes to three a.m.   | gece üçe yirmi üç var
160  | 02:38 | twenty-two minutes to three a.m.     | gece üçe yirmi iki var
161  | 02:39 | twenty-one minutes to three a.m.     | gece üçe yirmi bir var
162  | 02:40 | twenty to three a.m.                 | gece üçe yirmi var
163  | 02:41 | nineteen minutes to three a.m.       | gece üçe on dokuz var
164  | 02:42 | eighteen minutes to three a.m.       | gece üçe on sekiz var
165  | 02:43 | seventeen minutes to three a.m.      | gece üçe on yedi var
166  | 02:44 | sixteen minutes to three a.m.        | gece üçe on altı var
167  | 02:45 | a quarter to three a.m.              | gece üçe çeyrek var
168  | 02:46 | fourteen minutes to three a.m.       | gece üçe on dört var
169  | 02:47 | thirteen minutes to three a.m.       | gece üçe on üç var
170  | 02:48 | twelve minutes to three a.m.         | gece üçe on iki var
171  | 02:49 | eleven minutes to three a.m.         | gece üçe on bir var
